排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
1,1.665235201601979,606918722589196,2件套蓝米色条纹抱枕套，方形靠垫套配隐形拉链，柔和海军蓝米白条纹，沙发床铺装饰软装,7.39,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/6661bfa0-cc90-4725-9286-47add01861b4.jpg,https://www.temu.com/search_result.html?search_key=606918722589196&search_method=user,912.csv,18
2,1.6029349931933865,607148503344313,"4pcs酒红, 摩卡床笠套件, 简约时尚风格床品四件套, 化纤涤纶床品套件, Bedding set, 四季通用柔软亲肤家居用品, 1*Flat et+1*Fitted et+ 2*Pillowcases, Without Core",25.98,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/8891490a1ad742eaa1215037709d5d2e-goods.jpeg,https://www.temu.com/search_result.html?search_key=607148503344313&search_method=user,909.xlsx,13
3,1.5107029029420436,601103948566404,2D桌旗1件，椰树形状渐变蓝色长方形桌旗，聚酯材质，适用于餐桌、咖啡桌、家庭派对装饰，厨房、派对、节日的鲜艳文化装饰,3.11,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/20150c22617/fa45f732-110a-4967-a62d-fdf578b38606_1024x1024.jpeg,https://www.temu.com/search_result.html?search_key=601103948566404&search_method=user,910.csv,1
4,1.506299231594659,601103950992577,2D桌旗1件，纽约城市布鲁克林大桥长方形桌旗，聚酯材质，适用于餐桌、咖啡桌、家庭派对装饰，厨房、派对、节日的鲜艳文化装饰,4.54,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/20150c22617/fbb05f44-17c4-4829-9ed3-8686c35411a9_1024x1024.jpeg,https://www.temu.com/search_result.html?search_key=601103950992577&search_method=user,910.csv,1
5,1.4544179371187393,601103943529892,2D桌旗1件，历史文化风景建筑画长方形桌旗，聚酯材质，适用于餐桌、咖啡桌、家庭派对装饰，厨房、派对、节日的鲜艳文化装饰,4.23,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/20150c22617/fe11fa7f-13f9-45eb-9d87-0850f21534f2_1024x1024.jpeg,https://www.temu.com/search_result.html?search_key=601103943529892&search_method=user,910.csv,1
6,1.4400744586093162,601103731381982,"1PC 粉色闪耀水晶梦幻城堡图案的床笠，独立的一件深口袋床笠、全包围床单、QUEEN,KING,SINGLE适合卧室、双人加大，床上用品，四季通用、装饰 可机洗聚酯纤维床笠 圣诞节、情人节、万圣节等节日礼物的理想选择",22.14,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/6339cb69bc234216a80a04c4f9e457b5-goods.jpeg,https://www.temu.com/search_result.html?search_key=601103731381982&search_method=user,909.xlsx,33
7,1.4268467428297888,606689747134526,2D Flat桌旗1件，竹编材料表面细节纹理涤纶桌旗，长方形桌布，适用于餐桌，咖啡桌，厨房，聚餐，家庭派对装饰，节日装饰桌布,3.3,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/21f0664ce0/57acec53-15a5-4fca-a153-9d49c0bd0689_1024x1024.jpeg,https://www.temu.com/search_result.html?search_key=606689747134526&search_method=user,909.xlsx,6
8,1.3917225474652162,606773901659788,1 pc互动荡秋千松鼠静电窗贴，免胶可移除不留残胶，秋日枫叶橡果松果秋收主题玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,2.11,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/ef065a18b0fd4763983c1a4334fcccf6-goods.jpeg,https://www.temu.com/search_result.html?search_key=606773901659788&search_method=user,910.csv,5
9,1.36946349660973,607072938733848,"1件2D平面图案,圣诞窗贴玻璃静电贴纸，窗贴，玻璃贴画，窗户贴花圣诞水豚红杯松果装饰静电膜适用于卧室厨房浴室阳台窗户圣诞家居装饰，个面打印，可重复使用，可移除的PVC节日防水贴纸，完美的万圣，圣诞节派个装饰贴纸-玻璃贴膜",1.38,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/d3719f081fed4d70b2bf173621202ce2-goods.jpeg,https://www.temu.com/search_result.html?search_key=607072938733848&search_method=user,910.csv,3
10,1.3681784833276796,606598613330461,海棠花玻璃贴膜 3D立体浮雕质感 磨砂隐私保护 防紫外线遮阳隔热 免胶自粘 静电吸附 玻璃移门翻新贴 欧式复古花纹 房间装饰 客厅阳台卧室通用 柔化刺眼太阳光 玻璃装饰贴纸 防晒降温 保护家具防晒老化 易安装可重复使用,4.88,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/542b91db-9cb1-4de3-80af-d4122e02b8b8.jpg,https://www.temu.com/search_result.html?search_key=606598613330461&search_method=user,912.csv,0
11,1.3452089450551208,606233759177192,2件/3件装 豚鼠床上用品 适用床笠床单 深蓝色主题 含可爱豚鼠、星星、萤火虫及“梦想/愿望”文字 床笠+半枕套 可机洗床罩 用于房间装饰 2D平面印花,16.11,家居厨房用品,床上用品,https://img.kwcdn.com/product/21137b24104/064a003d-e12f-4ca3-9678-6ebff95ded42_1500x1500.jpeg,https://www.temu.com/search_result.html?search_key=606233759177192&search_method=user,911.csv,1
12,1.3412434872424135,601103949616567,2D桌旗1件，犹太节日庆祝传统装饰长方形桌旗，聚酯材质，适用于餐桌、咖啡桌、家庭派对装饰，厨房、派对、节日的鲜艳文化装饰,4.17,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/20150c22617/8031c523-d3b0-4634-b404-1eca8833017b_1024x1024.jpeg,https://www.temu.com/search_result.html?search_key=601103949616567&search_method=user,910.csv,4
13,1.3410596676933775,606716456457060,1件纯色加厚保暖内衬床笠，卧室立体镂空内衬床罩，床垫套，床垫垫层，床笠式床垫保护罩，床上用品（不含枕套）,13.04,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/0d7bfecc-8c32-4dd9-8a9c-777037c08837.jpg,https://www.temu.com/search_result.html?search_key=606716456457060&search_method=user,913.csv,8
14,1.321079478081329,607338689864385,2pcs/家用多功能塑料收纳盒 带把手带盖储物盒厨房衣柜桌面杂物分类整理箱,9.49,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/fancy/184e52d1-bdff-41d0-98e8-f5bcc7b9e562.jpg,https://www.temu.com/search_result.html?search_key=607338689864385&search_method=user,910.csv,1
15,1.3169818817220422,607197492795215,Random Colors-3D打印斗鱼雕像，泰国斗鱼雕塑，桌面摆件，独特的鱼类爱好者礼物，节日装饰品,3.15,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/b45d355f-45cc-4f13-94d9-b17fe484345e.jpg,https://www.temu.com/search_result.html?search_key=607197492795215&search_method=user,909.xlsx,1
16,1.3098758500679217,606716993354484,Latacaca 3件套 100% 涤纶 超柔软 魔术绒 Sherpa 被套 魔术绒表面 Sherpa 反面 加厚个面被 纯色绗缝涤纶 奢华冬季床上用品 包括 1件被子 和 2个枕套,59.91,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/01a15d95d8374c48986656bade2c2d51-goods.jpeg,https://www.temu.com/search_result.html?search_key=606716993354484&search_method=user,912.csv,0
