商品ID,标题,main_url,商品链接,美元价格($),cat_l1,cat_l2,source,总销量,y_raw,y,split,shop_group,log_price,has_video,n_gallery,title_len,title_cjk_ratio,has_cn_title,n_tags,has_backend_cat,店铺总销量,粉丝数,店铺评分,在售商品数
601099522735012,动物纹风格抱毯 - 柔软舒适的沙发毯 - 传统设计 - 数字印花 - 适合所有季节 - 针织面料 - 250-300克重,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/66e94a0ee1203a0e84a62e2bbb1652bc.jpg,https://www.temu.com/search_result.html?search_key=601099522735012&search_method=user,6.07,家居厨房用品,毯子,910.csv,0,0,0.0,,shop_634418211167562,1.955860479908481,0,1,60,0.5833333333333334,1,0,0,34000.0,972.0,4.8,288.0
601099526350773,1 件农场动物派对桌布，1 件农场动物主题派对一次性塑料桌布，机器制作农舍装饰，适合周年纪念和一般场合，108 x 54 英寸 - 红色,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d583a9ed3175290c36708bd8b720b6b8.jpg,https://www.temu.com/search_result.html?search_key=601099526350773&search_method=user,6.94,家居厨房用品,节日聚会用品,911.csv,1524,1524,7.329749689041512,,shop_634418210855581,2.0719132752590443,0,1,68,0.7058823529411765,1,0,0,550000.0,10696.0,4.8,119.0
601099528074592,汽车生日派对用品赛车派对装饰道路桌布赛车场桌布儿童男孩汽车主题生日派对桌布，54x108英寸,https://img.kwcdn.com/product/fancy/f3bd7ddb-7639-40de-9515-7721c86ba8fd.jpg,https://www.temu.com/search_result.html?search_key=601099528074592&search_method=user,5.46,家居厨房用品,节日聚会用品,909.xlsx,2155,2155,7.676009932028887,,shop_634418210855581,1.8656293177945105,0,1,46,0.8478260869565217,1,0,0,550000.0,10696.0,4.8,119.0
601099537670510,1/4件短绒蝴蝶花卉抱枕套，方形装饰软垫套，室内装饰，户外装饰，不含枕芯，18x18英寸,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/6a161bd92e5f55ae7bf3d2e9e23803f3.jpg,https://www.temu.com/search_result.html?search_key=601099537670510&search_method=user,3.58,家居厨房用品,沙发装饰,911.csv,6,6,1.9459101490553128,,shop_634418211980806,1.5216989981260935,0,1,44,0.7045454545454546,1,0,0,46000.0,1653.0,4.9,665.0
601099538882796,"2 件装现代芭蕾舞抛物线枕套，低敏染色毛线布，机洗，拉链闭合，聚酯纤维 100%，用于各种房间类型的装饰枕套，18x18 英寸 - ""只是一位爱跳舞的女孩"" 设计",https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/028f11b1a9b37b4fdc36443829f1a57d.jpg,https://www.temu.com/search_result.html?search_key=601099538882796&search_method=user,6.34,家居厨房用品,沙发装饰,911.csv,10,10,2.3978952727983707,,shop_634418211980806,1.993338842626424,0,5,81,0.691358024691358,1,0,1,46000.0,1653.0,4.9,665.0
601099540788295,咖啡滤纸架，带盖木质咖啡滤纸收纳盒，乡村风格咖啡滤纸分配器，咖啡吧台装饰用滤纸整理篮配件,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d0ab06459e97cd8f778ab793e8b98d99.jpg,https://www.temu.com/search_result.html?search_key=601099540788295&search_method=user,13.97,家居厨房用品,厨房收纳,911.csv,5934,5934,8.688622307043769,,shop_4672388201563,2.706048198431537,0,1,44,0.9318181818181818,1,1,0,350000.0,7659.0,4.8,76.0
601099553080137,充满活力的公鸡和花卉浴帘 - 带挂钩的聚酯纤维浴室装饰，70.87x70.87 英寸，农场动物印花，彩色春季设计，可机洗，浴室装饰及配件,https://img.kwcdn.com/product/fancy/d8165ffe-185e-4c33-9587-ddf85cabb2a0.jpg,https://www.temu.com/search_result.html?search_key=601099553080137&search_method=user,16.95,家居厨房用品,毛巾浴巾,910.csv,24,24,3.218875824868201,,shop_634418213963281,2.887590114934288,0,1,68,0.7058823529411765,1,1,0,47000.0,1643.0,4.8,26000.0
601099553571102,1件，蛋糕肥皂展示架，经典木制肥皂/蛋糕架展示，质朴的农舍浴室和厨房装饰,https://img.kwcdn.com/product/fancy/27582873-3d82-470d-9013-915c71a43ee5.jpg,https://www.temu.com/search_result.html?search_key=601099553571102&search_method=user,7.22,家居厨房用品,家居装饰,909.xlsx,14,14,2.70805020110221,,shop_634418211870345,2.106570209068088,0,1,36,0.8611111111111112,1,0,0,100000.0,5362.0,4.7,10.0
601099560534583,[2D平面] 1个装，女性励志亚克力桌面牌匾 最佳朋友 透明亚克力桌面展示板 励志桌面装饰，带木质支架，适合家庭卧室办公室生日礼物,https://img.kwcdn.com/product/fancy/7b3a82c7-39aa-44b6-83a9-0916746a170a.jpg,https://www.temu.com/search_result.html?search_key=601099560534583&search_method=user,3.63,家居厨房用品,家居装饰,910.csv,11,11,2.4849066497880004,,shop_634418211387562,1.5325568680981427,0,1,65,0.8153846153846154,1,0,0,600000.0,22525.0,4.9,485.0
601099560572587,印刷绘画，4件西部牛仔靴，帽子，公牛头骨和仙人掌复古字典艺术海报 - 无框，水彩复古装饰，8x10英寸，非常适合女孩房间，宿舍或办公室,https://img.kwcdn.com/product/open/2024-04-04/1712233351290-29391633fd004e1b8e6a6d1bc6e9f737-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099560572587&search_method=user,11.46,家居厨房用品,墙面装饰,909.xlsx,18,18,2.9444389791664403,,shop_2773816830755,2.522523513359307,0,1,67,0.7761194029850746,1,0,0,150000.0,8778.0,4.7,141.0
601099565787211,鹿浴帘动物森林草原野生动物装饰浴室带挂钩聚酯纤维 180X180,https://img.kwcdn.com/product/fancy/ecccf29d-c94b-4e5c-956f-5e0c10edcd0f.jpg,https://www.temu.com/search_result.html?search_key=601099565787211&search_method=user,15.51,家居厨房用品,毛巾浴巾,911.csv,42,42,3.7612001156935615,,shop_634418213963281,2.803966257932037,0,1,32,0.75,1,0,0,47000.0,1643.0,4.8,26000.0
601099569591972,20 件不锈钢衣夹 - 重型金属夹，用于衣服、袜子和食物密封 - 适合照片,https://img.kwcdn.com/product/open/2024-04-19/1713536804169-f3bcff60ac424278af281dc557ac2e2b-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099569591972&search_method=user,2.27,家居厨房用品,衣橱收纳,910.csv,0,0,0.0,,shop_6240843680530,1.184789984909162,0,1,37,0.7027027027027027,1,0,0,450000.0,33125.0,4.9,80.0
601099591509505,"Heavy-duty Wall-mounted Towel Hook, Suitable for Bathroom/coats/robes/kitchen, Non-drilling Self-adhesive Hook, Matte Stainless Steel",https://img.kwcdn.com/product/open/2024-06-11/1718088599698-066268e1f1194568af8f58955e23de90-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099591509505&search_method=user,6.05,家居厨房用品,厨房收纳,909.xlsx,0,0,0.0,,shop_6747973908,1.9530276168241771,0,1,133,0.0,0,0,0,950000.0,45524.0,4.8,149.0
601099617610996,"6pcs Festive Christmas Chair Covers - Non-Woven Fabric, Perfect for Holiday Dining Decor",https://img.kwcdn.com/product/fancy/2cb40df9-b46f-4f3c-a95b-c23e02cba4c2.jpg,https://www.temu.com/search_result.html?search_key=601099617610996&search_method=user,8.38,家居厨房用品,餐厨布艺,910.csv,4900,4900,8.497194544909547,,shop_198899924891,2.238579763018133,0,1,88,0.0,0,0,0,47000.0,1402.0,4.9,22.0
601099618483170,"133pcs Purple Pink Green Latex Balloons, Premium Celebration Latex Balloons, High-quality Thick Balloons, Suitable for Birthdays/parties/Christmas/weddings, Can Be Freely Combined and Matched with Colors, Colored Balloon Arch Kit",https://img.kwcdn.com/product/open/2024-07-22/1721615843278-c104efa6e10e4ec1b323126a35bb20d7-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099618483170&search_method=user,9.83,家居厨房用品,节日聚会用品,911.csv,17,17,2.8903717578961645,,shop_634418211449305,2.382320061012899,0,1,229,0.0,0,0,0,250000.0,5586.0,4.9,182.0
601099624281179,"Large Capacity Hand-painted Letter Bear Gourd-shaped Glass Water Bottle, Retro French Bear Coffee Milk Cup, Soda Drink Cup, Suitable for Living Room, Restaurant, Cafe",https://img.kwcdn.com/product/fancy/770f5b9a-f162-4322-8c9a-1034a7732de5.jpg,https://www.temu.com/search_result.html?search_key=601099624281179&search_method=user,13.71,家居厨房用品,杯具,910.csv,120,120,4.795790545596741,,shop_202884797982,2.688527534613346,0,1,166,0.0,0,0,0,67000.0,1554.0,4.9,129.0
601099634550227,Hausroland Stainless Steel Singing Kettle 3L Gas Kettle for Open Fire,https://img.kwcdn.com/product/fancy/a2a2424b-90a9-4c0a-b236-74ce3b98fd85.jpg,https://www.temu.com/search_result.html?search_key=601099634550227&search_method=user,40.07,家居厨房用品,咖啡用品,911.csv,2,2,1.0986122886681098,,shop_634418217178318,3.7152779279684673,0,1,69,0.0,0,0,0,13146.0,1965.0,4.8,47.0
601099635168821,"G4 LED Bulb, 120° Beam Angle 2 Watt AC/DC 12V, 200LM, No Flicker, 20W-30W T3 Halogen Bulb Replacement for Landscape, Cabinet Lighting, Post Lights, Recessed Light And Etc, Warm White 3000K / Natural White 4000K / Cool White 7000K (4pcs / 8pcs)",https://img.kwcdn.com/product/fancy/67785731-5fb8-4e58-9041-6a79e882ac80.jpg,https://www.temu.com/search_result.html?search_key=601099635168821&search_method=user,17.24,家居厨房用品,照明及配件,911.csv,13,13,2.6390573296152584,,shop_6255254659525,2.903616984646185,0,1,243,0.0,0,0,0,30386.0,1941.0,0.0,1.0
601099655220060,"【】6个(6pcs) 10x10Cm 粉色姜饼人装饰杯垫 Acrylic cup holder coasters set of 6, Pink Gingerbread Man art coasters, Suitable for patio table, kitchen, Living Room, The Best Gift for Friends and family",https://img.kwcdn.com/product/open/2024-08-31/1725083065384-03dc9fb7984f46b8ae1957d1540f774f-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099655220060&search_method=user,5.08,家居厨房用品,餐厅用品,910.csv,0,0,0.0,,shop_6149222106822,1.805004695978076,0,1,186,0.053763440860215,1,0,0,100000.0,1194.0,4.7,1027.0
