排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,source,真实总销量
1,1.7843139709420925,606309927719067,"1pc, Watercolor Palm Trees Large Capacity Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",4.54,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/bc971311-bd4f-4ec7-bd4b-b108c35aea0a_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606309927719067&search_method=user,911.csv,1
2,1.661104989581808,605966330387517,"1pc,Abstract Colorful Geometry Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",3.79,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a66998/733543c9-da7b-4886-b520-06270c7d0f8e_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605966330387517&search_method=user,911.csv,17
3,1.5049243134344097,606520112710334,2D平面，1件装 克里特岛沿海村庄亚克力圆形磁性冰箱贴，克里特字样，厨房装饰，白色崖壁房屋，蓝色圆顶教堂，绿松石色大海，适用于家庭、橱柜、冰箱、洗碗机、黑板，2D平面,2.66,家居厨房用品,厨房用品,https://img.kwcdn.com/product/2123a66064/ad51cc54-994a-42c4-8b83-fe2e7a48ff0f_800x800.jpeg,https://www.temu.com/search_result.html?search_key=606520112710334&search_method=user,911.csv,13
4,1.4913804981964385,605650650268202,"1pc,Retro Skull Print Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",4.59,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/774e5364-1a14-4a84-ae69-0262e0888c53_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605650650268202&search_method=user,911.csv,3
5,1.4411580905561698,605788089211733,"1pc,Rose Heart Patchwork Large Capacity Foldable Shopping BagReusable, Suitable for Storage, It Is the Perfect Choice for Essential Items in the School Season",3.91,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/40e76ed5-6ba6-47f7-9839-65c9dbf83184_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605788089211733&search_method=user,911.csv,6
6,1.405393751840812,606684781081296,2件套洗衣袋套装，带拉链的胸罩洗衣袋+一个挂钩，采用蜂窝状织物材料，能有效过滤杂质，支撑框架可有效防止洗涤过程中变形，适合洗涤胸罩、内衣、轻薄围巾和袜子,2.25,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/76eb24c4-f140-4b66-968c-c1d2879614d2.jpg,https://www.temu.com/search_result.html?search_key=606684781081296&search_method=user,911.csv,3
7,1.3420580490295377,606586953157125,"1pc, Two Sea Turtles Underwater Reusable Foldable Shopping Bag Reusable, Suitable for Storage, It Is The Perfect Choice for Essential Items in The School Season",4.78,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a639a4/d1b75351-a4dd-450c-a80c-4e708088073c_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=606586953157125&search_method=user,911.csv,5
8,1.3280939460503423,607079649655937,2D平面，1个装花卉祝福亚克力圆形磁性冰箱磁铁，愿上帝祝福这家，进入家中祝福，橙色百合绽放，厨房装饰，红蓝花卉，非常适合家居、橱柜、冰箱、洗碗机,1.25,家居厨房用品,厨房用品,https://img.kwcdn.com/product/217a7c4a1c/8166c19d-fec5-4cf7-ba5f-d12a59d5b456_800x800.jpeg,https://www.temu.com/search_result.html?search_key=607079649655937&search_method=user,911.csv,0
9,1.3136207719365605,606046324122657,1个2D平面墨西哥丰富文化活力传统耐用圆形冰箱贴，适用于冰箱、白板、手工艺品、照片、贴纸、明信片、工具、厨房装饰等，2D平面设计,1.95,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/b999e2f273ae4397a02af353e9fabc30-goods.jpeg,https://www.temu.com/search_result.html?search_key=606046324122657&search_method=user,911.csv,7
10,1.309905389089472,607565987584078,1个2D平面爱沙尼亚塔林耐用圆形冰箱磁铁，适合粘贴照片、明信片等于冰箱上，作为厨房装饰品,2.75,家居厨房用品,厨房用品,https://img.kwcdn.com/product/algo_check/auto/ef1ca3a16899a352f049045fd5fb7efd_1784010333303.jpg,https://www.temu.com/search_result.html?search_key=607565987584078&search_method=user,911.csv,18
