排名,预测分,商品ID,标题,美元价格($),cat_l1,cat_l2,main_url,总销量
1,1.4349841820551645,607059718307474,2D平面秋季松鼠枕套橙色靠垫套单面印花不含枕芯沙发床装饰，客厅卧室适用,3.58,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/338c22f888e6445d958c0d580fbcb2c4-goods.jpeg,7
2,1.3767120288757844,606920467416462,2件套高品质全包沙发套，四季适用弹性沙发罩，适用于客厅直排沙发，防猫抓且可拆卸水洗，带加宽松紧带与绑带，适用于客厅卧室,33.36,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/4a829c15-2d51-46e7-afef-1c72727bb888.jpg,44
3,1.3191260504263327,607475994563945,新款青棱纹提花沙发套 弹力全包沙发罩 家用客厅沙发保护罩 防猫抓可拆洗四季通用沙发垫套 多色可选,27.61,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/887d13c4-ca17-4555-8047-4875843c4357.jpg,7
4,1.3182035668625762,607520689122258,加厚提花弹力全包沙发套 家用客厅扶手沙发罩，盖住整个沙发弹性底部沙发防尘保护罩，纯色可拆洗沙发盖布，适用于有宠物的家庭(不含抱枕套）,31.23,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/be1485772a344bf7a243a1ac1e6d429b-goods.jpeg,2
5,1.3035532569970345,605737556250155,MOKALALA 1件 波西米亚风曼陀罗图案薄被 - 轻薄透气四季通用，适合家庭酒店宿舍使用，可机洗柔软床罩，现代风格，适用于床、沙发、空调毯,22.85,家居厨房用品,床上用品,https://img.kwcdn.com/product/21140d62aa8/afc4c21f-28ea-4693-9ed3-9e3731276e89_1000x1000.jpeg,0
6,1.2893648668714501,601101280909007,2D平面，1件无框宁静瀑布与繁茂山脉帆布印刷 - 现代经典艺术装饰垂直墙画，客厅、卧室、办公室装饰用鲜艳墨水绿色风景海报 - 宁静自然场景，理想礼物，帆布墙艺术，床房作品，细致森林场景，生动彩色艺术品，2D平面,2.8,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/45cc730d497f4fcb9c445a03d930c3a0-goods.jpeg,4
7,1.2607532919303457,607289163536208,1个 2D 平面印刷 可定制名字 26个字母 薰衣草色 定制名字，家庭纪念礼物，母亲节、情人节、父亲节、感恩节、教师节礼物，情侣用，单面印刷靠垫套、枕套，2D,2.42,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/b088a9e225ca4a8fb3f43eea7153e773-goods.jpeg,11
8,1.2504308912066617,607095084692091,1件纯色超柔软牛奶绒床笠（不包含枕套），加厚保暖舒适床垫保护套，松紧深袋设计，360度贴合包裹抗皱易打理，防滑不移位，适用于卧室公寓酒店宿舍，可以机洗水洗,10.31,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/fc6a93ff-a74d-464e-94ab-f639dfec6e22.jpg,0
9,1.2370946892441048,607210511899569,杏叶暗纹提花全包沙发套 高弹力 耐磨 防滑 易安装 宠物友好 可机洗沙发套 1/2/3/4人位 适用于客厅、卧室、办公室、单身公寓等场景、万圣节 圣诞节优选好物,27.75,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/060244b6-dd1b-4a61-8c26-6236bf30dc06.jpg,1
10,1.230111298523843,607324395660335,1pc 水莲高弹力暗纹全包沙发套 防滑耐磨沙发套 一体式懒人防尘沙发保护罩 宠物友好 四季通用 可机洗1/2/3/4人位 万圣节 圣诞节客厅卧室沙发装饰套,24.78,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/3733e24e-9a47-48bc-8e7d-5c2d1aae4b20.jpg,0
11,1.2261174276724391,601101553713626,有框，房间装饰 1 件奇异海滩海鸥帆布墙壁艺术，木制框壁画，家居和办公室装饰，客厅卧室宿舍装饰,14.22,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/cdfe5c2d-8680-4b09-b114-a7ac5500792d.jpg,20
12,1.2167291393611186,607052537640197,Dokriy 2件装 学院风粉色豹纹与8号球装饰抱枕套，时髦俏皮猎豹Y2K幸运8号球美学抱枕套，适用于少女房、宿舍、公寓装饰（单面，含枕芯）,5.09,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/bc5d0dce-b0c1-4d45-a938-0bdec0acd0f8.jpg,8
