店铺ID,商品ID,商品标题（英文）,商品主图,商品轮播图,商品视频,前台分类（中文）,美元价格($),总销量,source,label,title_en,shop_id,main_url,has_video,category,log_price
2642061590243.0,606645723711957,"TIMORNON 10pcs Set of 3D Cube Vacuum Compression Bags (5pcs Extra Large And 5pcs Large), Ultra-Large Capacity 3D Design, Widened Bottom Vacuum Sealed Bags, Suitable for Seasonal Comforters, Blankets, Thick Clothing And Bedding Storage",https://img.kwcdn.com/product/fancy/ecf20474-724f-4083-abfd-12a3b513b742.jpg,[https://img.kwcdn.com/product/fancy/ecf20474-724f-4083-abfd-12a3b513b742.jpg],,家居厨房用品/衣橱收纳,26.27,0,910.csv,0,"TIMORNON 10pcs Set of 3D Cube Vacuum Compression Bags (5pcs Extra Large And 5pcs Large), Ultra-Large Capacity 3D Design, Widened Bottom Vacuum Sealed Bags, Suitable for Seasonal Comforters, Blankets, Thick Clothing And Bedding Storage",shop_2642061590243,https://img.kwcdn.com/product/fancy/ecf20474-724f-4083-abfd-12a3b513b742.jpg,0,家居厨房用品/衣橱收纳,3.305787196857497
634418218873724.0,607296813894615,"DIY Crystal Ball Figurine Christmas Commemorative Lamp, Luminous Ornament, Self-Defined Handwritten Message, USB Plug-in Night Light, Blank Base Without Inscription, Home Figurine Decoration, Holiday Gift for Friends and Family, No Batteries Required",https://img.kwcdn.com/product/21f0664f60/b0978769-0867-43b5-a9c8-4f5bfc35cd19_1200x1200.jpeg,[https://img.kwcdn.com/product/21f0664f60/b0978769-0867-43b5-a9c8-4f5bfc35cd19_1200x1200.jpeg],,家居厨房用品/家居装饰,18.56,0,909.xlsx,0,"DIY Crystal Ball Figurine Christmas Commemorative Lamp, Luminous Ornament, Self-Defined Handwritten Message, USB Plug-in Night Light, Blank Base Without Inscription, Home Figurine Decoration, Holiday Gift for Friends and Family, No Batteries Required",shop_634418218873724,https://img.kwcdn.com/product/21f0664f60/b0978769-0867-43b5-a9c8-4f5bfc35cd19_1200x1200.jpeg,0,家居厨房用品/家居装饰,2.9734866646066713
634418218600487.0,606980596937829,"2026 Traditional Chinese Mid-Autumn Festival Pastry Square Flower Pattern Cake Mold, 75G 3D Flower Shape Hand Press Cookie Stamps with 4pcs Molds, Moon Cake Maker, Kitchen Gadgets",https://img.kwcdn.com/product/fancy/c14fdf9e-ab20-4f12-bb35-7c8b1de4ef5f.jpg,[https://img.kwcdn.com/product/fancy/c14fdf9e-ab20-4f12-bb35-7c8b1de4ef5f.jpg],,家居厨房用品/烘焙用品,5.04,0,909.xlsx,0,"2026 Traditional Chinese Mid-Autumn Festival Pastry Square Flower Pattern Cake Mold, 75G 3D Flower Shape Hand Press Cookie Stamps with 4pcs Molds, Moon Cake Maker, Kitchen Gadgets",shop_634418218600487,https://img.kwcdn.com/product/fancy/c14fdf9e-ab20-4f12-bb35-7c8b1de4ef5f.jpg,0,家居厨房用品/烘焙用品,1.7984040119467235
634418228715851.0,607407006659837,"Dark Night Wolf King Statue Decoration, Dreamy Design, Desk Decor, Creative Gift, Car Dashboard Ornament, Home Decoration, Bonsai Decoration, Valentine'S Day, Christmas Gift, Collectible Statue, Small Figure Ornament",https://img.kwcdn.com/product/fancy/3a8addd5-bb03-4d34-b44c-80c41a3c3dba.jpg,[https://img.kwcdn.com/product/fancy/3a8addd5-bb03-4d34-b44c-80c41a3c3dba.jpg],,家居厨房用品/节日饰品,6.68,0,909.xlsx,0,"Dark Night Wolf King Statue Decoration, Dreamy Design, Desk Decor, Creative Gift, Car Dashboard Ornament, Home Decoration, Bonsai Decoration, Valentine'S Day, Christmas Gift, Collectible Statue, Small Figure Ornament",shop_634418228715851,https://img.kwcdn.com/product/fancy/3a8addd5-bb03-4d34-b44c-80c41a3c3dba.jpg,0,家居厨房用品/节日饰品,2.038619547159581
634418230452419.0,606859801003976,"1pc CAPYBARAFAMILY Capybara 1pc Four-in-One Manual Can Opener & Bottle Opener Suitable for Twist-Off Caps, Soda Bottles, Beverage Cans, Pull-Tab Rings - Portable Non-Slip Ergonomic Opener for Home, Bars, Parties, Elderly, Color Random",https://img.kwcdn.com/product/open/7e27f86a31f54de18055a778f533a214-goods.jpeg,[https://img.kwcdn.com/product/open/7e27f86a31f54de18055a778f533a214-goods.jpeg],https://goods-vod.kwcdn.com/goods-video/a0cbe034d34b42982169880acabce4c9a22de38a.f30.mp4,家居厨房用品/厨房用品,2.94,0,910.csv,0,"1pc CAPYBARAFAMILY Capybara 1pc Four-in-One Manual Can Opener & Bottle Opener Suitable for Twist-Off Caps, Soda Bottles, Beverage Cans, Pull-Tab Rings - Portable Non-Slip Ergonomic Opener for Home, Bars, Parties, Elderly, Color Random",shop_634418230452419,https://img.kwcdn.com/product/open/7e27f86a31f54de18055a778f533a214-goods.jpeg,1,家居厨房用品/厨房用品,1.3711807233098425
634418229263204.0,607462371504563,"2D Flat Printing, 1pc Portable Shopping Bag, Blue Shoebill Tote Bag, Fashion Casual Women'S Daily Tote, Perfect for Daily Shopping, Travel, And Errands, Versatile for Nail Salon, Hair Salon, Daily Commute, Camping, Outdoor",https://img.kwcdn.com/product/fancy/d0f25768-5862-464b-98c9-668a8147d2c9.jpg,[https://img.kwcdn.com/product/fancy/d0f25768-5862-464b-98c9-668a8147d2c9.jpg],,家居厨房用品/厨房收纳,4.29,0,911.csv,0,"2D Flat Printing, 1pc Portable Shopping Bag, Blue Shoebill Tote Bag, Fashion Casual Women'S Daily Tote, Perfect for Daily Shopping, Travel, And Errands, Versatile for Nail Salon, Hair Salon, Daily Commute, Camping, Outdoor",shop_634418229263204,https://img.kwcdn.com/product/fancy/d0f25768-5862-464b-98c9-668a8147d2c9.jpg,0,家居厨房用品/厨房收纳,1.665818245870208
634418211581190.0,607150248178786,12pcs Christmas Flannel Drawstring Gift Bags Medium Size Christmas Drawstring Goody Gift Bag Xmas Reusable Wrapping Bag for Holiday Xmas Party Favor,https://img.kwcdn.com/product/open/95a57a88fca74125abcf4c0971a87020-goods.jpeg,[https://img.kwcdn.com/product/open/95a57a88fca74125abcf4c0971a87020-goods.jpeg],,家居厨房用品/节日聚会用品,7.59,2,909.xlsx,1,12pcs Christmas Flannel Drawstring Gift Bags Medium Size Christmas Drawstring Goody Gift Bag Xmas Reusable Wrapping Bag for Holiday Xmas Party Favor,shop_634418211581190,https://img.kwcdn.com/product/open/95a57a88fca74125abcf4c0971a87020-goods.jpeg,0,家居厨房用品/节日聚会用品,2.150598735996164
634418228195462.0,607446869341440,"2D Flat 3pcs Christmas Cute Cartoon Smiling Bread Illustration 1 Table Cover And 2 Bench Covers - Polyester, Outdoor Picnic Tablecloth, All-Season Use, Suitable for Patio And Garden, Essential for Picnics, Durable Outdoor Furniture",https://img.kwcdn.com/product/21152342fce/2df031b8-bcdc-403a-a93b-94601e16acf9_1000x1000.jpeg,[https://img.kwcdn.com/product/21152342fce/2df031b8-bcdc-403a-a93b-94601e16acf9_1000x1000.jpeg],,家居厨房用品/节日聚会用品,14.67,0,911.csv,0,"2D Flat 3pcs Christmas Cute Cartoon Smiling Bread Illustration 1 Table Cover And 2 Bench Covers - Polyester, Outdoor Picnic Tablecloth, All-Season Use, Suitable for Patio And Garden, Essential for Picnics, Durable Outdoor Furniture",shop_634418228195462,https://img.kwcdn.com/product/21152342fce/2df031b8-bcdc-403a-a93b-94601e16acf9_1000x1000.jpeg,0,家居厨房用品/节日聚会用品,2.7517480563679295
634418224292511.0,607326006250115,"8-Petal Foldable Silicone Baking Mat, Multi-Shape Dough Proofing Pad, Round Fermentation Basket Air Fryer Oven Baking Applicable",https://img.kwcdn.com/product/fancy/763da545-7da6-4a95-86ca-837c9cac57b1.jpg,[https://img.kwcdn.com/product/fancy/763da545-7da6-4a95-86ca-837c9cac57b1.jpg],,家居厨房用品/烘焙用品,2.57,0,909.xlsx,0,"8-Petal Foldable Silicone Baking Mat, Multi-Shape Dough Proofing Pad, Round Fermentation Basket Air Fryer Oven Baking Applicable",shop_634418224292511,https://img.kwcdn.com/product/fancy/763da545-7da6-4a95-86ca-837c9cac57b1.jpg,0,家居厨房用品/烘焙用品,1.2725655957915476
634418214098630.0,607252253629867,"Boat-shaped Aluminum Pan, Egg Mold, Mini Wavy Edge Cup, Boat-shaped Mold, Reusable Metal Muffin Cup Mold, Jelly Pudding Cupcake Baking Tool",https://img.kwcdn.com/product/open/c3ef70f7e72e483da04cf4af284ee114-goods.jpeg,[https://img.kwcdn.com/product/open/c3ef70f7e72e483da04cf4af284ee114-goods.jpeg],,家居厨房用品/烘焙用品,9.38,0,910.csv,0,"Boat-shaped Aluminum Pan, Egg Mold, Mini Wavy Edge Cup, Boat-shaped Mold, Reusable Metal Muffin Cup Mold, Jelly Pudding Cupcake Baking Tool",shop_634418214098630,https://img.kwcdn.com/product/open/c3ef70f7e72e483da04cf4af284ee114-goods.jpeg,0,家居厨房用品/烘焙用品,2.3398808777377424
