排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
5137,0.27110195153567757,601099526350773,1 件农场动物派对桌布，1 件农场动物主题派对一次性塑料桌布，机器制作农舍装饰，适合周年纪念和一般场合，108 x 54 英寸 - 红色,6.94,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d583a9ed3175290c36708bd8b720b6b8.jpg,https://www.temu.com/search_result.html?search_key=601099526350773&search_method=user,911.csv,False,,False,1524
521,1.1885940515678033,601099537670510,1/4件短绒蝴蝶花卉抱枕套，方形装饰软垫套，室内装饰，户外装饰，不含枕芯，18x18英寸,3.58,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/6a161bd92e5f55ae7bf3d2e9e23803f3.jpg,https://www.temu.com/search_result.html?search_key=601099537670510&search_method=user,911.csv,False,,False,6
105,1.9025605924827131,601099538882796,"2 件装现代芭蕾舞抛物线枕套，低敏染色毛线布，机洗，拉链闭合，聚酯纤维 100%，用于各种房间类型的装饰枕套，18x18 英寸 - ""只是一位爱跳舞的女孩"" 设计",6.34,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/028f11b1a9b37b4fdc36443829f1a57d.jpg,https://www.temu.com/search_result.html?search_key=601099538882796&search_method=user,911.csv,False,,False,10
479,1.2159693384528256,601099540658515,柔软短毛绒心理健康意识抱枕套 - 防过敏，拉链闭合，可机洗，适用于咨询与心理治疗师办公室,4.76,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/69c1a9296eafea681c70b16f37b09ef3.jpg,https://www.temu.com/search_result.html?search_key=601099540658515&search_method=user,911.csv,False,,True,186
4040,0.35427961436462574,601099540788295,咖啡滤纸架，带盖木质咖啡滤纸收纳盒，乡村风格咖啡滤纸分配器，咖啡吧台装饰用滤纸整理篮配件,13.97,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/d0ab06459e97cd8f778ab793e8b98d99.jpg,https://www.temu.com/search_result.html?search_key=601099540788295&search_method=user,911.csv,False,,False,5934
584,1.1471621704195625,601099543533100,4个浪漫的农场动物和向日葵枕套，18x18英寸 - 软短毛绒，拉链，机洗 - 春季甜美的农场设计，带有牛、猪、公鸡和花卉装饰，适用于沙发或沙发装饰,11.9,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/fdf69f51-04b4-4627-ab43-8b58f3f6c67a.jpg,https://www.temu.com/search_result.html?search_key=601099543533100&search_method=user,911.csv,False,,True,146
19,2.3910311972610034,601099565787211,鹿浴帘动物森林草原野生动物装饰浴室带挂钩聚酯纤维 180X180,15.51,家居厨房用品,毛巾浴巾,https://img.kwcdn.com/product/fancy/ecccf29d-c94b-4e5c-956f-5e0c10edcd0f.jpg,https://www.temu.com/search_result.html?search_key=601099565787211&search_method=user,911.csv,False,,False,42
86,1.9879007176980537,601099618483170,"133pcs Purple Pink Green Latex Balloons, Premium Celebration Latex Balloons, High-quality Thick Balloons, Suitable for Birthdays/parties/Christmas/weddings, Can Be Freely Combined and Matched with Colors, Colored Balloon Arch Kit",9.83,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/2024-07-22/1721615843278-c104efa6e10e4ec1b323126a35bb20d7-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099618483170&search_method=user,911.csv,False,,False,17
1210,0.8595139154880534,601099634550227,Hausroland Stainless Steel Singing Kettle 3L Gas Kettle for Open Fire,40.07,家居厨房用品,咖啡用品,https://img.kwcdn.com/product/fancy/a2a2424b-90a9-4c0a-b236-74ce3b98fd85.jpg,https://www.temu.com/search_result.html?search_key=601099634550227&search_method=user,911.csv,False,,False,2
397,1.2965980274253024,601099635168821,"G4 LED Bulb, 120° Beam Angle 2 Watt AC/DC 12V, 200LM, No Flicker, 20W-30W T3 Halogen Bulb Replacement for Landscape, Cabinet Lighting, Post Lights, Recessed Light And Etc, Warm White 3000K / Natural White 4000K / Cool White 7000K (4pcs / 8pcs)",17.24,家居厨房用品,照明及配件,https://img.kwcdn.com/product/fancy/67785731-5fb8-4e58-9041-6a79e882ac80.jpg,https://www.temu.com/search_result.html?search_key=601099635168821&search_method=user,911.csv,True,Led,False,13
933,0.9710227613080268,601099651876078,1PC圣诞主题扇形旗帜，花园旗，圣诞桉树主题，适用于圣诞家庭装饰，花园装饰，门幅客厅装饰。,2.61,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/7cd73fe7-ade4-46fd-8cd2-fba079ba908d.jpg,https://www.temu.com/search_result.html?search_key=601099651876078&search_method=user,911.csv,False,,True,0
3162,0.44315277820351473,601099668746182,个性化木制蝴蝶墙面装饰，经典设计姓名标牌，雕塑品，适用于家庭卧室和客厅装饰,6.56,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/2024-09-12/1726128844638-37df452e8c3b4e199a7ee7dfb906787e-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099668746182&search_method=user,911.csv,False,,False,0
5404,0.25462346232443844,601099680613449,个性化金属墙 आर्ट，特色是海盗骷髅和交叉锚，采用经典几何航海主题设计。这款可定制的家庭姓名标牌非常适合万圣节，并且可用作客厅或海滨室内装饰品。,8.85,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/2024-09-22/1726965084258-a83bf516f243448bafe08735851cbb89-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099680613449&search_method=user,911.csv,False,,False,0
2501,0.5372436956995683,601099690533545,仿羊绒+水洗背面仿羊绒，每平方米重量1200克，厚度8.6毫米 1件，万圣节南瓜图案仿羊绒垫 - 可机洗聚酯地毯，适用于客厅和咖啡店 - 易于打理的地板垫,38.17,家居厨房用品,地毯地垫,https://img.kwcdn.com/product/fancy/1eefae6e-a4bc-4393-96a4-0c051eb6e0d6.jpg,https://www.temu.com/search_result.html?search_key=601099690533545&search_method=user,911.csv,False,,False,1
835,1.0148635426300043,601099703308687,"一件，节日圣诞抱枕套，""这是一年中最美好的时光"" 设计，18x18英寸，短毛绒，涤纶，现代风格，拉链封闭，可机洗，适用于家居沙发和长椅装饰",5.78,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/2024-10-09/1728465085556-ff3263aab0b340119f193698196b288c-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099703308687&search_method=user,911.csv,False,,True,10
3448,0.41140066371868095,601099717889881,这是一款金色菱形天鹅绒毛绒地毯，每平方米重1.76磅，采用防滑点缀塑料背衬和图案设计。它是一款红绿格子圣诞装饰地毯，带有泰迪熊图案。,27.46,家居厨房用品,地毯地垫,https://img.kwcdn.com/product/fancy/1a932f18-ed2e-4460-b317-8441425d87ac.jpg,https://www.temu.com/search_result.html?search_key=601099717889881&search_method=user,911.csv,False,,False,1
1018,0.938012888789415,601099720551635,"6pcs Plastic Candy Jars, Square Multi-Use Containers, Food-Safe, for Halloween, Christmas, Dessert Display Stand, Snack Storage Organizer",15.81,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/8555b87d-09a0-4cdf-85a2-2e7d234f82a0.jpg,https://www.temu.com/search_result.html?search_key=601099720551635&search_method=user,911.csv,False,,False,0
904,0.9846833983414358,601099730792419,40件套冬季节日派对游戏套装 - 雪人绘画、图片寻找等 - 完美适合20位客人，适合教室和圣诞聚会,9.9,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/9ffdddd1-3f08-4c30-96a0-a62319cf264e.jpg,https://www.temu.com/search_result.html?search_key=601099730792419&search_method=user,911.csv,False,,True,0
1721,0.6955708148247137,601099731329375,可定制圣诞侏儒被套套装 - 柔软耐用聚酯纤维，带拉链闭合 - 包括1个被套和2个枕套，适合所有季节 - 完美适用于卧室装饰和节日礼物，圣诞装饰,50.56,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/d0f1dffb9ff5484c8aad398d2b4857d3-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099731329375&search_method=user,911.csv,False,,True,7
366,1.3297447878866848,601099736853251,"1pc Energy-Saving 6-Blade Stove Fan, Designed for Home Comfort and Efficiency - Heats Your Room Faster and More Efficiently",29.23,家居厨房用品,电暖器和冷气,https://img.kwcdn.com/product/fancy/ac3bdb45-3e5d-4377-b301-49b96b3778f4.jpg,https://www.temu.com/search_result.html?search_key=601099736853251&search_method=user,911.csv,False,,True,1
