排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
1,1.809241168055499,607331911870008,2D平面1个丛林日落磁性冰箱磁铁，非洲野生动物冰箱磁铁，坦尚尼亚场景磁性亚克力冰箱磁铁，适用于厨房和家居装饰,1.58,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/2f48b883a18e49d59a9b10f19e2f500d-goods.jpeg,https://www.temu.com/search_result.html?search_key=607331911870008&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,False,2
2,1.6001326953793125,606169418569831,"109pcs Balloon Arch Kit Featuring Blue, Golden, And White Colors with a Bear in a Basket, Perfect for a Shower Celebration Back to School",16.82,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/916e01fc8840477cb9557d3033fdf904-goods.jpeg,https://www.temu.com/search_result.html?search_key=606169418569831&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,False,18
3,1.548786574690256,607325737866943,2D平面，1个装复古路线亚克力圆形磁性冰箱磁铁，美国66号公路文字，红色复古皮卡，复古加油机，美国地图，老化圆形徽章，厨房装饰，非常适合家庭、橱柜、冰箱、洗碗机、黑板,2.11,家居厨房用品,厨房用品,https://img.kwcdn.com/product/217a7c4a1c/4020b069-1157-413c-a0f4-2295f7531afd_800x800.jpeg,https://www.temu.com/search_result.html?search_key=607325737866943&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,False,10
4,1.53063951548205,606918722589196,2件套蓝米色条纹抱枕套，方形靠垫套配隐形拉链，柔和海军蓝米白条纹，沙发床铺装饰软装,7.39,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/6661bfa0-cc90-4725-9286-47add01861b4.jpg,https://www.temu.com/search_result.html?search_key=606918722589196&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,False,18
5,1.467976322402101,601100536638823,一套3件可爱橙色柯基犬在水中玩耍图案床单，包括一个床笠和两个枕套，不含枕芯，可机洗，适合所有季节，轻盈面料，带来居家舒适感,21.2,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/7480837f31e84768a3827603ebdabf2b-goods.jpeg,https://www.temu.com/search_result.html?search_key=601100536638823&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,True,1
6,1.3784650285249165,607675509214549,2D平面单片热碗圆形磁性冰箱磁铁，面条碗亚克力冰箱磁铁，日式美食，非常适合家庭、办公室、橱柜、冰箱、洗碗机装饰品艺术品,1.58,家居厨房用品,厨房用品,https://img.kwcdn.com/product/open/9a78d7f6cc5242a48711907b126b33a6-goods.jpeg,https://www.temu.com/search_result.html?search_key=607675509214549&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,False,0
7,1.3675414436113995,607076696841473,静电吸附窗膜 单向隐私膜，反光隔热镜面防眩光隔热遮阳膜， 隐私窗膜 无需胶水可移除静电吸附玻璃隔热膜，静电吸附可移除无残留，阻挡烈日，适用于家庭、办公室等区域,2.47,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/4ba9423f-2641-44ea-a7cb-ca9346b782d4.jpg,https://www.temu.com/search_result.html?search_key=607076696841473&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,False,0
8,1.3583003931712263,601103362439867,"Vintage Chocolate Labrador Dog Metal Sign - Retro Wall Art Suitable for Home, Bar, Garage - Heavy-Duty Iron Chocolate Lab Decor with White/Green/Yellow/Black Options - 8.0inch X 12.0inch",5.58,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/7b3ce447-7590-4c44-8f0e-ddf0a0f48da3.jpg,https://www.temu.com/search_result.html?search_key=601103362439867&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,True,1
9,1.3347075755542466,601104738893446,两副大号烤箱手套，尺寸为10.6 x 6.7英寸，采用条纹简约设计。它们可以耐受高达446°F（230°C）的温度，是烹饪保护的完美选择。是爱烘焙的男女朋友们的绝佳礼物。,10.24,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/open/f11d894c0a7e449eb7626f13a6c9b54b-goods.jpeg,https://www.temu.com/search_result.html?search_key=601104738893446&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,True,1
10,1.3019281024894978,601102400587107,3件套数学公式图案床单三件套（1*床笠+2*枕套，无芯），日常主题，高级装饰寝具套装，柔软透气，适合家居装饰、卧室装饰、教室装饰、办公室装饰,25.91,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/c88fccc57f3249ab9a433d6901637727-goods.jpeg,https://www.temu.com/search_result.html?search_key=601102400587107&search_method=user,912_无收录_去重训练库_无违禁.csv,False,,True,15
