排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
1,1.7161293134082165,607507804163092,3 pc秋日秋千松鼠静电窗贴，免胶可移除不留残胶，枫叶松果秋收主题玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,4.23,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/9144621d-cfb5-4e88-919b-5c5db2290a48.jpg,https://www.temu.com/search_result.html?search_key=607507804163092&search_method=user,913.csv,False,,False,7
2,1.428440424826659,607127162704642,1/2件恐龙主题三明治切割器 DIY面包&吐司模具，适用于学校午餐盒装饰，食品安全塑料,2.19,家居厨房用品,厨房用品,https://img.kwcdn.com/product/fancy/1e683468-b4ef-4457-8f39-8d4064368ddb.jpg,https://www.temu.com/search_result.html?search_key=607127162704642&search_method=user,913.csv,False,,True,7
3,1.410012876663958,601099585277438,"Large Puppy & Bone Print Disposable Tablecloth - Perfect for Dog-Themed Birthday Parties, Halloween, Christmas, Easter, Thanksgiving Decorations",2.64,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/3f6d739f-05e5-4e55-92fe-767e3026759d.jpg,https://www.temu.com/search_result.html?search_key=601099585277438&search_method=user,913.csv,False,,True,86
4,1.408614483149467,607119378084330,7个装 1.18英寸 镜面迪斯科球装饰品，轻巧悬挂球装饰，节日悬挂装饰品，适用于花艺布置和商店橱窗装饰,2.69,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/b445f59e050e45819b8ecb6616429892-goods.jpeg,https://www.temu.com/search_result.html?search_key=607119378084330&search_method=user,913.csv,False,,True,0
6,1.392732190242439,607632895109605,1pc 垂坠枫叶秋收静电窗贴，免胶可移除不留残胶，红黄悬挂枫叶秋日玻璃窗贴，客厅橱窗秋季氛围感装饰贴纸,3.79,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/dff6f592dc9d4b2882ef2273f9a25ae3-goods.jpeg,https://www.temu.com/search_result.html?search_key=607632895109605&search_method=user,913.csv,False,,False,5
9,1.3418714449050269,607111727648992,1pc All Seasons Gradient Maple Tree Wall Sticker Spring Summer Autumn Winter Colorful Maple Leaf Falling Pattern Kids Room Kindergarten Classroom Wall Self-Adhesive Decoration Mural,1.62,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/a50d10ff-4676-4b98-bc76-f2183c538115.jpg,https://www.temu.com/search_result.html?search_key=607111727648992&search_method=user,913.csv,False,,True,15
10,1.3100846268533937,607053879854319,1pc 窗贴 自粘玻璃贴纸，家居装饰墙贴， 橙色海马，卡通风格 静电吸附，无需粘胶，家居花园玻璃贴纸，派对装饰，房车窗贴，马桶贴纸，瓷砖贴纸，适用于室内外,1.35,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/54b938dc-2ff5-4cc3-becf-f6d56fb5ace8.jpg,https://www.temu.com/search_result.html?search_key=607053879854319&search_method=user,913.csv,False,,False,0
11,1.3085298405480486,607431031646887,5pcs 多彩雏菊铝箔气球-棕色/奶油白/粉色/绿色/蓝色，适用于生日派个、婚礼、订婚、周年纪念装饰,1.47,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/471164b6-9894-4dcd-b8a2-5cb10f2bcf73.jpg,https://www.temu.com/search_result.html?search_key=607431031646887&search_method=user,913.csv,False,,False,6
13,1.2880598065800637,607127296957252,1件励志名言PVC标牌桌面摆件，大事需要时间，保持耐心箴言装饰，办公室书房客厅摆设，鼓励人生小摆件，PVC材质耐用。Decorative Signs & Plaques,2.2,家居厨房用品,节日饰品,https://img.kwcdn.com/product/open/5c6e3230dc7141cd8b953ce62c134dab-goods.jpeg,https://www.temu.com/search_result.html?search_key=607127296957252&search_method=user,913.csv,False,,True,0
16,1.2359964264497985,607123538861838,"1pc Fruit Hair Drying Towel - Lightweight And Foldable, with Strong Water Absorption, Quickly Dries Hair After Sports Bathing! Ideal Gift for Men And Women",4.64,家居厨房用品,毛巾浴巾,https://img.kwcdn.com/product/open/641df6f00c93497e93d0437170291be8-goods.jpeg,https://www.temu.com/search_result.html?search_key=607123538861838&search_method=user,913.csv,False,,True,0
